"Rapport de Gestion - Ventes par produits"
Etablissement;"Aloha the poke bar";83967029600012
"Période du";"2018-07-16 06:00:00";au;"2021-07-22 06:00:00"
"Généré le";"2021-07-21 11:53:45"

"Tous les prix sont exprimés en";EUR

Catégorie;Produit;export.report.sales.menu;Type;"TVA (%)";"Coût unitaire";Quantité;"Prix HT théorique";"Total HT théorique";"Marge théorique unitaire";"Marge théorique";"Remises / produit";"Remise / transaction";"Prix unitaire HT";"Total HT";"Marge brut unitaire";"Marge brut";"Taux de marge sur coût variable";"Total TTC"
SIGNATURE;HONOLULU;"À la carte";;10,00;0,00;1268,00;11,36;14409,09;11,36;14409,09;25,00;0,00;11,35;14386,36;11,35;14386,36;1,00;15825,00
SIGNATURE;HONOLULU;"Prix de base";;10,00;0,00;94,00;10,98;1031,82;10,98;1031,82;0,00;0,00;10,98;1031,82;10,98;1031,82;1,00;1135,00
SIGNATURE;HONOLULU;"SUR PLACE";;10,00;0,00;1911,00;11,07;21160,45;11,07;21160,45;36,50;0,00;11,06;21127,27;11,06;21127,27;1,00;23240,00
"SIGNATURE VAE";HONOLULU;"À la carte";;10,00;0,00;1,00;11,36;11,36;11,36;11,36;0,00;0,00;11,36;11,36;11,36;11,36;1,00;12,50
"SIGNATURE VAE";HONOLULU;"Prix de base";;5,50;0,00;103,00;11,37;1171,56;11,37;1171,56;0,00;0,00;11,37;1171,56;11,37;1171,56;1,00;1236,00
"SIGNATURE VAE";HONOLULU;"A EMPORTER";;5,50;0,00;5396,00;11,53;62237,44;11,53;62237,44;24,50;0,00;11,53;62214,22;11,53;62214,22;1,00;65636,00
"SIGNATURE DELI";HONOLULU;Deliveroo;;5,50;0,00;3643,00;13,21;48133,65;13,21;48133,65;9,75;37,04;13,20;48089,30;13,20;48089,30;1,00;50734,21
"SIGNATURE DELI";HONOLULU;"Prix de base";;5,50;0,00;194,00;14,67;2845,50;14,67;2845,50;0,00;31,49;14,51;2815,65;14,51;2815,65;1,00;2970,51
VARIOUS;houmous;"Prix de base";;5,50;0,00;31,00;1,51;46,92;1,51;46,92;0,00;0,00;1,51;46,92;1,51;46,92;1,00;49,50
"A PARTAGER DELI";Houmous;"À la carte";;5,50;0,00;5,00;8,15;40,76;8,15;40,76;16,00;0,00;5,12;25,59;5,12;25,59;1,00;27,00
"A PARTAGER DELI";Houmous;Deliveroo;;5,50;0,00;250,00;8,31;2078,67;8,31;2078,67;0,00;0,00;8,31;2078,67;8,31;2078,67;1,00;2193,00
"A PARTAGER DELI";Houmous;"Prix de base";;10,00;0,00;18,00;9,09;163,64;9,09;163,64;0,00;0,00;9,09;163,64;9,09;163,64;1,00;180,00
"A partager VAE";Houmous;"A EMPORTER";;5,50;0,00;43,00;6,64;285,31;6,64;285,31;28,00;0,00;6,02;258,77;6,02;258,77;1,00;273,00
"A partager VAE";Houmous;"À la carte";;5,50;0,00;5,00;6,64;33,18;6,64;33,18;0,00;0,00;6,64;33,18;6,64;33,18;1,00;35,00
"A partager";Houmous;"À la carte";;10,00;0,00;62,00;6,36;394,55;6,36;394,55;7,00;0,00;6,26;388,18;6,26;388,18;1,00;427,00
"A partager";Houmous;"SUR PLACE";;10,00;0,00;42,00;6,36;267,27;6,36;267,27;7,00;0,00;6,21;260,91;6,21;260,91;1,00;287,00
"BOISSON DELI";"infusion bio";Deliveroo;;5,50;0,00;43,00;4,18;179,62;4,18;179,62;0,00;0,00;4,18;179,62;4,18;179,62;1,00;189,50
BOISSONS;"Infusion bio";"À la carte";;5,50;0,00;2,00;3,32;6,64;3,32;6,64;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Bière;IPA;"Prix de base";;20,00;0,00;9,00;4,72;42,50;4,72;42,50;0,00;0,00;4,72;42,50;4,72;42,50;1,00;51,00
Bière;IPA;"À la carte";;20,00;0,00;122,00;4,17;508,33;4,17;508,33;0,00;0,00;4,17;508,33;4,17;508,33;1,00;610,00
