"Rapport de Gestion - Ventes par produits"
Etablissement;"Aloha the poke bar";83967029600012
"Période du";"2018-07-16 06:00:00";au;"2021-07-22 06:00:00"
"Généré le";"2021-07-21 11:53:45"

"Tous les prix sont exprimés en";EUR

Catégorie;Produit;export.report.sales.menu;Type;"TVA (%)";"Coût unitaire";Quantité;"Prix HT théorique";"Total HT théorique";"Marge théorique unitaire";"Marge théorique";"Remises / produit";"Remise / transaction";"Prix unitaire HT";"Total HT";"Marge brut unitaire";"Marge brut";"Taux de marge sur coût variable";"Total TTC"
MENUS;"POKE + BOISSON + DESSERT";"À la carte";;10,00;0,00;841,00;15,36;12920,82;15,36;12920,82;16,90;0,00;15,35;12905,45;15,35;12905,45;1,00;14196,00
"MENUS VAE";"POKE + BOISSON + DESSERT";"A EMPORTER";;5,50;0,00;1400,00;15,72;22003,79;15,72;22003,79;0,00;0,00;15,72;22003,79;15,72;22003,79;1,00;23214,00
"MENUS VAE";"POKE + BOISSON + DESSERT";"À la carte";;5,50;0,00;10,00;16,02;160,19;16,02;160,19;0,00;0,00;16,02;160,19;16,02;160,19;1,00;169,00
MENUS;"POKE + HOT SIDE";"Prix de base";;10,00;0,00;23,00;13,64;313,64;13,64;313,64;0,00;0,00;13,64;313,64;13,64;313,64;1,00;345,00
MENUS;"POKE + HOT SIDE";"SUR PLACE";;10,00;0,00;311,00;13,65;4245,91;13,65;4245,91;0,00;0,00;13,65;4245,91;13,65;4245,91;1,00;4670,50
MENUS;"POKE + HOT SIDE";"À la carte";;10,00;0,00;6,00;14,09;84,55;14,09;84,55;0,00;0,00;14,09;84,55;14,09;84,55;1,00;93,00
"MENUS VAE";"POKE + HOT SIDE";"A EMPORTER";;5,50;0,00;472,00;14,24;6720,38;14,24;6720,38;0,00;0,00;14,24;6720,38;14,24;6720,38;1,00;7090,00
"MENU DELI";"POKE BOISSON";"À la carte";;5,50;0,00;1,00;16,02;16,02;16,02;16,02;0,00;0,00;16,02;16,02;16,02;16,02;1,00;16,90
"MENU DELI";"POKE BOISSON";Deliveroo;;5,50;0,00;413,00;15,44;6375,64;15,44;6375,64;0,00;9,28;15,42;6366,84;15,42;6366,84;1,00;6717,02
COURSEMEAL;"poké boisson";"Prix de base";;0,00;0,00;32,00;17,90;572,80;17,90;572,80;0,00;572,99;-0,01;-0,19;-0,01;-0,19;1,00;-0,19
"MENU DELI";"POKE BOISSON DESSERT";Deliveroo;;5,50;0,00;927,00;18,07;16751,18;18,07;16751,18;0,00;13,10;18,06;16738,77;18,06;16738,77;1,00;17659,40
"MENU DELI";"POKE BOISSON DESSERT";"À la carte";;10,00;0,00;3,00;18,09;54,27;18,09;54,27;0,00;0,00;18,09;54,27;18,09;54,27;1,00;59,70
COURSEMEAL;"poke boisson dessert";"Prix de base";;0,00;0,00;44,00;20,90;919,60;20,90;919,60;0,00;920,24;-0,01;-0,64;-0,01;-0,64;1,00;-0,64
"MENU DELI";"POKE HOT SIDE";Deliveroo;;5,50;0,00;156,00;15,64;2439,81;15,64;2439,81;21,44;27,19;15,34;2393,72;15,34;2393,72;1,00;2525,37
VARIOUS;poulet;"Prix de base";;5,50;0,00;98,00;0,35;34,12;0,35;34,12;0,00;0,00;0,35;34,12;0,35;34,12;1,00;36,00
VARIOUS;quinoa;"Prix de base";;5,50;0,00;95,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
VARIOUS;Radis;"Prix de base";;5,50;0,00;172,00;0,01;1,90;0,01;1,90;0,00;0,00;0,01;1,90;0,01;1,90;1,00;2,00
VARIOUS;"riz vinaigré";"Prix de base";;5,50;0,00;368,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
BOISSONS;"SAN PELLEGRINO";"SUR PLACE";;5,50;0,00;153,00;2,37;362,56;2,37;362,56;2,50;0,00;2,35;360,19;2,35;360,19;1,00;380,00
BOISSONS;"SAN PELLEGRINO";"À la carte";;5,50;0,00;42,00;2,37;99,53;2,37;99,53;0,00;0,00;2,37;99,53;2,37;99,53;1,00;105,00
BOISSONS;"SAN PELLEGRINO";"Prix de base";;5,50;0,00;10,00;2,37;23,70;2,37;23,70;0,00;0,00;2,37;23,70;2,37;23,70;1,00;25,00
"BOISSONS VAE";"SAN PELLEGRINO";"A EMPORTER";;5,50;0,00;202,00;2,37;478,67;2,37;478,67;5,00;0,00;2,35;473,93;2,35;473,93;1,00;500,00
"BOISSONS VAE";"SAN PELLEGRINO";"Prix de base";;5,50;0,00;2,00;2,37;4,74;2,37;4,74;0,00;0,00;2,37;4,74;2,37;4,74;1,00;5,00
"BOISSON DELI";"SAN PELLEGRINO";Deliveroo;;5,50;0,00;243,00;3,04;739,62;3,04;739,62;0,00;1,80;3,04;737,91;3,04;737,91;1,00;778,50
"BOISSON DELI";"San pellegrino citron";Deliveroo;;5,50;0,00;1,00;3,32;3,32;3,32;3,32;0,00;0,00;3,32;3,32;3,32;3,32;1,00;3,50
"BOISSON DELI";"San pellegrino citron";"Prix de base";;5,50;0,00;13,00;3,32;43,13;3,32;43,13;0,00;0,00;3,32;43,13;3,32;43,13;1,00;45,50
"BOISSON DELI";"San pellegrino ORANGE";"Prix de base";;5,50;0,00;24,00;3,32;79,62;3,32;79,62;0,00;2,96;3,20;76,82;3,20;76,82;1,00;81,04
"BOISSON DELI";"San pellegrino ORANGE";Deliveroo;;5,50;0,00;1,00;3,32;3,32;3,32;3,32;0,00;0,00;3,32;3,32;3,32;3,32;1,00;3,50
VARIOUS;saumon;"Prix de base";;5,50;0,00;300,00;0,43;127,96;0,43;127,96;0,00;0,00;0,43;127,96;0,43;127,96;1,00;135,00
VARIOUS;"soja salée";"Prix de base";;5,50;0,00;101,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
VARIOUS;"soja sucrée";"Prix de base";;5,50;0,00;207,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"hot side deli";SOUPE;Deliveroo;;5,50;0,00;89,00;4,84;430,81;4,84;430,81;0,00;2,25;4,82;428,67;4,82;428,67;1,00;452,25
"HOT SIDES";"SOUPE DE LEGUMES";"SUR PLACE";;10,00;0,00;46,00;3,66;168,18;3,66;168,18;8,00;0,00;3,50;160,91;3,50;160,91;1,00;177,00
"HOT SIDES";"SOUPE DE LEGUMES";"Prix de base";;10,00;0,00;5,00;3,64;18,18;3,64;18,18;0,00;0,00;3,64;18,18;3,64;18,18;1,00;20,00
"HOT SIDES VAE";"SOUPE DE LEGUMES";"A EMPORTER";;5,50;0,00;161,00;3,82;614,22;3,82;614,22;13,00;0,00;3,74;601,90;3,74;601,90;1,00;635,00
SIGNATURE;"Spicy tuna";"À la carte";;10,00;0,00;4,00;11,36;45,45;11,36;45,45;0,00;0,00;11,36;45,45;11,36;45,45;1,00;50,00
SIGNATURE;"Spicy tuna";"SUR PLACE";;10,00;0,00;231,00;11,36;2625,00;11,36;2625,00;12,50;0,00;11,31;2613,64;11,31;2613,64;1,00;2875,00
SIGNATURE;"Spicy tuna";"A EMPORTER";;10,00;0,00;307,00;11,36;3488,64;11,36;3488,64;0,00;0,00;11,36;3488,64;11,36;3488,64;1,00;3837,50
SIGNATURE;"Spicy tuna";"Prix de base";;10,00;0,00;13,00;11,36;147,73;11,36;147,73;0,00;0,00;11,36;147,73;11,36;147,73;1,00;162,50
"SIGNATURE DELI";"SPICY TUNA";Deliveroo;;5,50;0,00;233,00;12,80;2981,52;12,80;2981,52;0,00;8,08;12,76;2973,86;12,76;2973,86;1,00;3137,42
"SIGNATURE VAE";"Spicy tuna";"A EMPORTER";;5,50;0,00;74,00;11,85;876,78;11,85;876,78;0,00;0,00;11,85;876,78;11,85;876,78;1,00;925,00
"SIGNATURE VAE";"SPICY TUNA";"Prix de base";;10,00;0,00;21,00;14,09;295,91;14,09;295,91;0,00;0,00;14,09;295,91;14,09;295,91;1,00;325,50
SIGNATURE;"SPICY TUNA";"À la carte";;10,00;0,00;11,00;11,73;129,00;11,73;129,00;0,00;0,00;11,73;129,00;11,73;129,00;1,00;141,90
VARIOUS;"srirasha mayo";"Prix de base";;5,50;0,00;20,00;0,52;10,43;0,52;10,43;0,00;0,00;0,52;10,43;0,52;10,43;1,00;11,00
"SIGNATURE DELI";"SUPER PROT";Deliveroo;;5,50;0,00;1343,00;13,88;18643,32;13,88;18643,32;6,24;20,82;13,86;18617,67;13,86;18617,67;1,00;19641,64
"SIGNATURE DELI";"SUPER PROT";"Prix de base";;10,00;0,00;92,00;14,43;1328,00;14,43;1328,00;0,00;14,88;14,29;1314,47;14,29;1314,47;1,00;1445,92
"SIGNATURE DELI";"SUPER PROT";"À la carte";;10,00;0,00;1,00;13,55;13,55;13,55;13,55;0,00;0,00;13,55;13,55;13,55;13,55;1,00;14,90
SIGNATURE;"SUPER PROTEINE";"À la carte";;10,00;0,00;572,00;11,73;6708,00;11,73;6708,00;0,00;0,00;11,73;6708,00;11,73;6708,00;1,00;7378,80
SIGNATURE;"SUPER PROTEINE";"SUR PLACE";;10,00;0,00;654,00;11,73;7669,64;11,73;7669,64;12,90;0,00;11,71;7657,91;11,71;7657,91;1,00;8423,70
SIGNATURE;"SUPER PROTEINE";"Prix de base";;10,00;0,00;27,00;11,73;316,64;11,73;316,64;25,80;0,00;10,86;293,18;10,86;293,18;1,00;322,50
"SIGNATURE VAE";"SUPER PROTEINE";"A EMPORTER";;5,50;0,00;1512,00;12,23;18487,96;12,23;18487,96;103,20;0,00;12,16;18390,14;12,16;18390,14;1,00;19401,60
"SIGNATURE VAE";"SUPER PROTEINE";"À la carte";;10,00;0,00;1,00;11,73;11,73;11,73;11,73;0,00;0,00;11,73;11,73;11,73;11,73;1,00;12,90
"SIGNATURE VAE";"SUPER PROTEINE";"Prix de base";;5,50;0,00;14,00;12,23;171,18;12,23;171,18;0,00;0,00;12,23;171,18;12,23;171,18;1,00;180,60
"SUR MESURE";"SUR MESURE";"À la carte";;10,00;0,00;1635,00;12,18;19917,27;12,18;19917,27;26,80;0,00;12,17;19892,91;12,17;19892,91;1,00;21882,20
"SUR MESURE";"SUR MESURE";"SUR PLACE";;10,00;0,00;2368,00;11,88;28136,09;11,88;28136,09;91,30;0,00;11,85;28053,09;11,85;28053,09;1,00;30858,40
"SUR MESURE";"SUR MESURE";"Prix de base";;10,00;0,00;250,00;11,80;2950,45;11,80;2950,45;0,00;0,00;11,80;2950,45;11,80;2950,45;1,00;3245,50
"SUR MESURE VAE";"SUR MESURE";"Prix de base";;5,50;0,00;1,00;12,23;12,23;12,23;12,23;0,00;0,00;12,23;12,23;12,23;12,23;1,00;12,90
"SUR MESURE VAE";"SUR MESURE";"A EMPORTER";;5,50;0,00;6558,00;12,36;81086,45;12,36;81086,45;79,90;0,00;12,35;81010,71;12,35;81010,71;1,00;85466,30
"SUR MESURE VAE";"SUR MESURE";"À la carte";;10,00;0,00;3,00;12,18;36,55;12,18;36,55;0,00;0,00;12,18;36,55;12,18;36,55;1,00;40,20
"SUR MESURE DELI";"SUR MESURE";"Prix de base";;10,00;0,00;418,00;15,36;6422,00;15,36;6422,00;0,00;0,01;15,36;6421,99;15,36;6421,99;1,00;7064,19
"SUR MESURE DELI";"SUR MESURE";Deliveroo;;5,50;0,00;8843,00;14,24;125907,20;14,24;125907,20;8,32;104,19;14,23;125800,56;14,23;125800,56;1,00;132719,59
"SUR MESURE DELI";"SUR MESURE";"À la carte";;10,00;0,00;9,00;14,45;130,09;14,45;130,09;0,00;0,00;14,45;130,09;14,45;130,09;1,00;143,10
"A PARTAGER DELI";"Tartare Thon";Deliveroo;;5,50;0,00;15,00;9,48;142,18;9,48;142,18;0,00;0,00;9,48;142,18;9,48;142,18;1,00;150,00
"SIGNATURE DELI";THAÏ;Deliveroo;;5,50;0,00;34,00;13,18;447,96;13,18;447,96;0,00;0,00;13,18;447,96;13,18;447,96;1,00;472,60
SIGNATURE;THAI;"À la carte";;10,00;0,00;18,00;11,73;211,09;11,73;211,09;0,00;0,00;11,73;211,09;11,73;211,09;1,00;232,20
SIGNATURE;THAI;"SUR PLACE";;10,00;0,00;10,00;11,73;117,27;11,73;117,27;12,90;0,00;10,55;105,55;10,55;105,55;1,00;116,10
"SIGNATURE VAE";THAI;"A EMPORTER";;5,50;0,00;26,00;12,23;317,91;12,23;317,91;0,00;0,00;12,23;317,91;12,23;317,91;1,00;335,40
"BOISSONS CHAUDES";THE;"SUR PLACE";;5,50;0,00;166,00;2,84;472,04;2,84;472,04;6,00;0,00;2,81;466,35;2,81;466,35;1,00;492,00
"BOISSONS CHAUDES";THE;"À la carte";;5,50;0,00;33,00;2,84;93,84;2,84;93,84;0,00;0,00;2,84;93,84;2,84;93,84;1,00;99,00
"BOISSONS CHAUDES";THE;"Prix de base";;5,50;0,00;2,00;2,84;5,69;2,84;5,69;0,00;0,00;2,84;5,69;2,84;5,69;1,00;6,00
"CAFES VAE";THE;"A EMPORTER";;5,50;0,00;95,00;2,84;270,14;2,84;270,14;9,00;0,00;2,75;261,61;2,75;261,61;1,00;276,00
"CAFES VAE";THE;"À la carte";;5,50;0,00;4,00;2,84;11,37;2,84;11,37;0,00;0,00;2,84;11,37;2,84;11,37;1,00;12,00
VARIOUS;thon;"Prix de base";;5,50;0,00;38,00;1,35;51,18;1,35;51,18;0,00;0,00;1,35;51,18;1,35;51,18;1,00;54,00
VARIOUS;Tomate;"Prix de base";;5,50;0,00;198,00;0,00;0,95;0,00;0,95;0,00;0,00;0,00;0,95;0,00;0,95;1,00;1,00
"SUR MESURE DELI";"VEGE SUR MESURE";Deliveroo;;5,50;0,00;909,00;12,09;10989,67;12,09;10989,67;1,78;0,00;12,09;10987,98;12,09;10987,98;1,00;11592,32
"SUR MESURE DELI";"VEGE SUR MESURE";"Prix de base";;10,00;0,00;45,00;13,55;609,55;13,55;609,55;0,00;0,00;13,55;609,55;13,55;609,55;1,00;670,50
SIGNATURE;"VEGGIE BOWL";"Prix de base";;10,00;0,00;8,00;9,00;72,00;9,00;72,00;9,90;0,00;7,88;63,00;7,88;63,00;1,00;69,30
SIGNATURE;"VEGGIE BOWL";"SUR PLACE";;10,00;0,00;367,00;9,15;3356,45;9,15;3356,45;19,80;0,00;9,10;3338,45;9,10;3338,45;1,00;3672,30
SIGNATURE;"VEGGIE BOWL";"À la carte";;10,00;0,00;127,00;9,55;1212,27;9,55;1212,27;0,00;0,00;9,55;1212,27;9,55;1212,27;1,00;1333,50
"SIGNATURE VAE";"VEGGIE BOWL";"Prix de base";;5,50;0,00;14,00;9,38;131,37;9,38;131,37;0,00;0,00;9,38;131,37;9,38;131,37;1,00;138,60
"SIGNATURE VAE";"VEGGIE BOWL";"A EMPORTER";;5,50;0,00;945,00;9,50;8978,67;9,50;8978,67;42,00;0,00;9,46;8938,86;9,46;8938,86;1,00;9430,50
"SIGNATURE DELI";"VEGGIE BOWL";Deliveroo;;5,50;0,00;332,00;11,03;3661,80;11,03;3661,80;1,63;8,16;11,00;3652,52;11,00;3652,52;1,00;3853,41
"SIGNATURE DELI";"VEGGIE BOWL";"Prix de base";;10,00;0,00;18,00;12,27;220,91;12,27;220,91;0,00;-1,90;12,37;222,64;12,37;222,64;1,00;244,90
"SUR MESURE";"VEGGIE SUR MESURE";"Prix de base";;10,00;0,00;20,00;10,00;200,00;10,00;200,00;0,00;0,00;10,00;200,00;10,00;200,00;1,00;220,00
"SUR MESURE";"VEGGIE SUR MESURE";"SUR PLACE";;10,00;0,00;181,00;10,13;1833,55;10,13;1833,55;0,00;0,00;10,13;1833,55;10,13;1833,55;1,00;2016,90
"SUR MESURE";"VEGGIE SUR MESURE";"À la carte";;10,00;0,00;82,00;10,36;849,82;10,36;849,82;0,00;0,00;10,36;849,82;10,36;849,82;1,00;934,80
"SUR MESURE VAE";"VEGGIE SUR MESURE";"A EMPORTER";;5,50;0,00;396,00;10,52;4166,26;10,52;4166,26;0,00;0,00;10,52;4166,26;10,52;4166,26;1,00;4395,40
"SUR MESURE VAE";"VEGGIE SUR MESURE";"À la carte";;5,50;0,00;1,00;10,81;10,81;10,81;10,81;0,00;0,00;10,81;10,81;10,81;10,81;1,00;11,40
Vin;"Verre de vin";"A EMPORTER";;20,00;0,00;166,00;3,33;553,33;3,33;553,33;52,00;0,00;3,07;510,00;3,07;510,00;1,00;612,00
Vin;"Verre de vin";"Prix de base";;20,00;0,00;12,00;3,33;40,00;3,33;40,00;0,00;0,00;3,33;40,00;3,33;40,00;1,00;48,00
Vin;"Verre de vin";"À la carte";;20,00;0,00;202,00;3,33;673,33;3,33;673,33;28,00;0,00;3,22;650,00;3,22;650,00;1,00;780,00
Vin;"Verre de vin";"SUR PLACE";;20,00;0,00;1052,00;3,33;3506,67;3,33;3506,67;124,00;0,00;3,24;3403,33;3,24;3403,33;1,00;4084,00
